"Reference","Value","Footprint","Qty","DNP","LCSC","MPN"
"C1,C4","6p","Capacitor_SMD:C_0402_1005Metric","2","","C437444","GCM1555C1H6R0DA16D"
"C2,C3,C5,C6,C7,C8,C9,C10,C11","100n","Capacitor_SMD:C_0402_1005Metric","9","","C71629","GRM155R71C104KA88J"
"C12,C13,C14,C15","22u","Capacitor_SMD:C_0805_2012Metric","4","","C98190","CL21A226MOQNNNE"
"C16,C17,C18,C21,C24","1u","Capacitor_SMD:C_0402_1005Metric","5","","C29266","CL05A105KO5NNNC"
"C19,C20,C23","2u2","Capacitor_SMD:C_0402_1005Metric","3","","C72203","GRM155R61E225ME15D"
"D1","ESD5Z24","Diode_SMD:D_SOD-523","1","","C23380859","ESD5Z24"
"D2,D5","RED","LED_SMD:LED_0402_1005Metric","2","","C779449","XZMDK68W-2"
"D3,D4","ESD5Z6.0","Diode_SMD:D_SOD-523","2","","C2890110","ESD5Z6.0T1G"
"D6","500mV @ 2A","Diode_SMD:D_SOD-123F","1","","C2972823","S-LMBR340FT1G"
"J1,J4","S2B-PH-SM4","gworkman_connector:JST_PH_01x02_SMT_Horizontal","2","","C295747","S2B-PH-SM4-TB"
"J2","Raspberry_Pi","gworkman_connector:RaspberryPi_low_profile_HAT_connector","1","","C2685112","FH-00339"
"J3","USB4125-GF-A","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","1","","C2874565","USB4125-GF-A"
"J5","SM04B-SRSS-TB","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","1","","C160404","SM04B-SRSS-TB"
"L1","1u5","gworkman_device:L_Vishay_IHLP-2525","1","","C845020","IHLP2525CZER1R5M01"
"R1,R2,R3,R4,R5,R8","5k1","Resistor_SMD:R_0402_1005Metric","6","","C105872","RC0402FR-075K1L"
"R6,R7,R11,R16,R19","10k","Resistor_SMD:R_0402_1005Metric","5","","C60490","RC0402FR-0710KL"
"R9","750k","Resistor_SMD:R_0402_1005Metric","1","","C137937","RC0402FR-07750KL"
"R10","133k","Resistor_SMD:R_0402_1005Metric","1","","C327374","RC0402FR-07133KL"
"R13","13k","Resistor_SMD:R_0402_1005Metric","1","","C138057","RC0402FR-0713KL"
"R14,R20,R21","1M2","Resistor_SMD:R_0402_1005Metric","3","","C226867","AC0402FR-071M2L"
"R15","200k","Resistor_SMD:R_0402_1005Metric","1","","C114763","RC0402FR-07200KL"
"R18","1k","Resistor_SMD:R_0402_1005Metric","1","","C105637","RC0402JR-071KL"
"SW1","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","1","","C221678","KMR223GLFG"
"TH1","10k","Resistor_SMD:R_0402_1005Metric","1","","C77131","NCP15XH103F03RC"
"U1","MCP7940N-xMNY","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm","1","","C623889","MCP7940NT-I/MNY"
"U2","XC6192B","gworkman_power:USP-8B06","1","","C2442364","XC6192BANNER-G"
"U3","LM66200","gworkman_power:Texas_DRL0008A_SOT-583","1","","C3235556","LM66200DRLR"
"U4","ATECC608A-MAHDA","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","1","","C616908","ATECC608A-MAHDA-S"
"U5","DRV5032FC","Package_TO_SOT_THT:TO-92Flat","1","","C2866256","DRV5032FCLPGM"
"U6","MP3423","gworkman_power:MPS_PowerQFN-14_2x2mm","1","","C2682483","MP3423GG-Z"
"U7","BQ25185","gworkman_power:Texas_DLH0010A_WSON-10","1","","C19725033","BQ25185DLHR"
"U8","TLV76701DRVx","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias","1","","C2863998","TLV76701DRVR"
"U9","BQ27427","Package_BGA:Texas_DSBGA-9_1.62x1.58mm_Layout3x3_P0.5mm","1","","C6075475","BQ27427YZFR"
"Y1","32.768kHz","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","1","","C3015107","ECS-.327-7-12-TR"
